tamanho_bytes,mpi_send_s,mpi_ssend_s,mpi_bsend_s,mpi_rsend_s
8,3.200060e-07,5.431375e-07,3.443435e-07,5.848065e-07
16,3.254855e-07,5.525095e-07,3.308840e-07,5.589335e-07
32,3.195715e-07,5.444855e-07,3.386585e-07,5.556945e-07
64,3.126740e-07,5.543395e-07,3.438850e-07,5.608615e-07
128,3.558925e-07,5.672100e-07,3.697335e-07,5.701475e-07
256,3.332615e-07,5.563990e-07,3.643100e-07,5.736790e-07
512,4.099790e-07,5.878035e-07,4.526245e-07,7.453205e-07
1024,4.352695e-07,6.037975e-07,4.779730e-07,7.826585e-07
2048,4.931085e-07,7.434980e-07,5.481495e-07,8.481135e-07
4096,2.697925e-06,2.539952e-06,1.159772e-06,2.953566e-06
8192,3.106314e-06,3.042280e-06,2.094313e-06,3.483544e-06
16384,4.211378e-06,4.124359e-06,3.706261e-06,4.525492e-06
32768,6.236211e-06,6.153519e-06,7.284251e-06,6.593299e-06
65536,1.001793e-05,1.027536e-05,1.586202e-05,1.060322e-05
131072,1.976569e-05,2.000091e-05,3.384292e-05,2.035874e-05
262144,4.051271e-05,4.051770e-05,6.479270e-05,4.170368e-05
524288,8.018673e-05,7.975415e-05,1.255607e-04,8.053068e-05
1048576,1.589642e-04,1.585014e-04,3.164564e-04,1.605455e-04
