tamanho_bytes,mpi_send_rel,mpi_ssend_rel,mpi_bsend_rel,mpi_rsend_rel
8,1.000000,1.697273,1.076053,1.827486
16,1.000000,1.697493,1.016586,1.717230
32,1.000000,1.703799,1.059727,1.738874
64,1.000000,1.772899,1.099820,1.793758
128,1.000000,1.593768,1.038891,1.602022
256,1.000000,1.669557,1.093166,1.721408
512,1.000000,1.433741,1.104019,1.817948
1024,1.000000,1.387181,1.098108,1.798101
2048,1.000000,1.507778,1.111620,1.719933
4096,1.000000,0.941446,0.429876,1.094755
8192,1.000000,0.979386,0.674212,1.121440
16384,1.000000,0.979337,0.880059,1.074587
32768,1.000000,0.986740,1.168057,1.057260
65536,1.000000,1.025697,1.583363,1.058424
131072,1.000000,1.011900,1.712205,1.030004
262144,1.000000,1.000123,1.599318,1.029397
524288,1.000000,0.994605,1.565854,1.004289
1048576,1.000000,0.997089,1.990740,1.009948
