Version,Size,SolveTime_s,TotalTime_s
CPU,500,0.112002,0.119951
GPU_Basic,500,0.338273,0.345432
GPU_Opt,500,0.245873,0.253886
GPU_Enter_Exit,500,0.246513,0.254489
GPU_Loop,500,0.245381,0.253329
CPU,1000,0.441514,0.468958
GPU_Basic,1000,0.504526,0.529405
GPU_Opt,1000,0.260471,0.286966
GPU_Enter_Exit,1000,0.248710,0.275729
GPU_Loop,1000,0.260574,0.287941
CPU,2000,1.786175,1.894286
GPU_Basic,2000,1.121713,1.230226
GPU_Opt,2000,0.275293,0.384898
GPU_Enter_Exit,2000,0.262479,0.371164
GPU_Loop,2000,0.274560,0.382421
CPU,4000,7.131311,7.592248
GPU_Basic,4000,3.521047,3.981432
GPU_Opt,4000,0.323520,0.781948
GPU_Enter_Exit,4000,0.323340,0.779386
GPU_Loop,4000,0.322479,0.780353
CPU,8000,28.511527,30.378355
GPU_Basic,8000,13.040532,14.922554
GPU_Opt,8000,0.519109,2.381363
GPU_Enter_Exit,8000,0.518405,2.381457
GPU_Loop,8000,0.517045,2.374746
